table,column,data_type,format_example,unit,nullable,source,sdk_field,description,validation_rules,notes
spo2,interval_minutes,INT16,1,minutes,NULLABLE,Android SDK,IntervalBloodOxygenEntity.interval (int). Null for manual or hourly.,Measurement interval in minutes for interval mode only.,Range: 1–60. Null if manual or hourly.,
spo2,day_index,INT8,0,days ago,NULLABLE,Android SDK,IntervalBloodOxygenEntity.dayIndex (int). 0=today 1=yesterday.,Day offset for interval mode sync. Null for manual.,Range: 0–7.,
spo2,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
spo2,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android,CHAR_FIRMWARE_REVISION,Ring firmware at measurement,Max 32 chars.,
spo2,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android,CHAR_HW_REVISION,Ring hardware version,Max 32 chars.,
blood_pressure,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
blood_pressure,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
blood_pressure,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android,"StopHeartRateRsp callback time (manual) | BlePressure.time (long, Unix seconds) * 1000 for synced manual history",Measurement time. BlePressure.time is Unix seconds  multiply by 1000.,> 0.,
blood_pressure,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
blood_pressure,systolic,INT16,120,mmHg,NOT NULL,Android SDK (derived),"StopHeartRateRsp.sbp (int) for manual measurement result. Also derivable via CalcBloodPressureByHeart.cal_sbp(hr, age) from StopHeartRateRsp.value. BlePressure.sbp (int) for synced history.",Systolic BP in mmHg. CRITICAL: The ring does NOT measure BP optically. StopHeartRateRsp.sbp is SDK-calculated from the HR signal. This limitation must be disclosed in any UI.,Range: 60–250 mmHg. Reject outside range.,
blood_pressure,diastolic,INT16,80,mmHg,NOT NULL,Android SDK (derived),StopHeartRateRsp.dbp (int) for manual. Also: CalcBloodPressureByHeart.cal_dbp(sbp). BlePressure.dbp (int) for synced history.,Diastolic BP in mmHg. SDK-derived from systolic.,Range: 40–150. Must be < systolic.,
blood_pressure,heart_rate_used,INT32,72,bpm,NULLABLE,Android SDK,StopHeartRateRsp.value (int)  the raw HR reading input to BP derivation. Store for auditability.,The HR value used as input to BP formula. Stored so derivation can be audited or recalculated.,Range: 30–250. Optional but recommended.,
blood_pressure,measurement_type,ENUM,manual_ring,,NOT NULL,Android,,Distinguishes source of BP reading.,Allowed: manual_ring (from manualModeBP) | auto_hourly (from CMD_BP_TIMING_MONITOR_DATA synced via BpDataEntity),
blood_pressure,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
blood_pressure,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android,CHAR_FIRMWARE_REVISION,Ring firmware at measurement,Max 32 chars.,
blood_pressure,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android,CHAR_HW_REVISION,Ring hardware version,Max 32 chars.,
temperature,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
temperature,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
temperature,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android,"TemperatureOnceEntity.mTime (long, Unix seconds) * 1000 for manual once. TemperatureEntity: cursor_index * mTimeSpan * 60 * 1000 + day_start_ms for continuous. StopHeartRateRsp callback time for manualThreeTemperature.",Measurement time. TemperatureOnceEntity.mTime is Unix seconds  multiply by 1000.,> 0.,
temperature,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
temperature,celsius_primary,"DECIMAL(5,2)",36.6,degrees Celsius,NOT NULL,Android SDK,TemperatureOnceEntity.mValue (float) for manual once  already Celsius. TemperatureEntity.mValues[i] (float) for continuous auto series. IntervalTemperature.value1 (float) from manualThreeTemperature or syncIntervalThreeTemperatureWithCallback. StopHeartRateRsp.temperature (int) / 100.0 for one-click measurement.,Primary sensor temperature in Celsius. Already in Celsius for TemperatureOnceEntity and IntervalTemperature. StopHeartRateRsp.temperature requires divide by 100.,"Range: 30.0–45.0. Reject outside. Zero = sensor error, do not store.",
temperature,celsius_side1,"DECIMAL(5,2)",36.4,degrees Celsius,NULLABLE,Android SDK,TemperatureEntity.mSideValues[i] (float) for continuous. TemperatureOnceEntity.mSideValues (float) for manual once. IntervalTemperature.value2 (float) for three-point.,Secondary sensor temperature. Null for single-sensor measurements.,Range: 30.0–45.0 if present.,
temperature,celsius_side2,"DECIMAL(5,2)",36.5,degrees Celsius,NULLABLE,Android SDK,TemperatureEntity.mSideValues1[i] (float) for continuous. TemperatureOnceEntity.mSideValues1 (float) for manual once. IntervalTemperature.value3 (float) for three-point.,Tertiary sensor temperature. Null for single-sensor measurements.,Range: 30.0–45.0 if present.,
temperature,measurement_mode,ENUM,auto_series,,NOT NULL,Android,,Which SDK path produced this reading.,Allowed: manual_once (startObtainTemperatureOnce) | auto_series (startObtainTemperatureSeries) | three_point (manualThreeTemperature) | interval (syncIntervalThreeTemperatureWithCallback) | one_click (oneClickMeasurement),
temperature,time_span_minutes,INT16,2,minutes,NULLABLE,Android SDK,TemperatureEntity.mTimeSpan (int)  measurement interval in minutes for continuous series.,Interval between readings for auto_series mode. Null for manual modes.,Range: 1–120. Null if not continuous.,
temperature,day_index,INT8,0,days ago,NULLABLE,Android SDK,IntervalTemperatureEntity.dayIndex (int). 0=today 1=yesterday.,Day offset for interval sync. Null for manual.,Range: 0–7.,
temperature,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
temperature,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android,CHAR_FIRMWARE_REVISION,Ring firmware at measurement,Max 32 chars.,
temperature,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android,CHAR_HW_REVISION,Ring hardware version,Max 32 chars.,
hrv,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
hrv,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
hrv,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android,System.currentTimeMillis() at callback for manual. HRVRsp.today (DateUtil) + range offset for continuous history.,Measurement time.,> 0.,
hrv,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
hrv,ms,INT16,45,milliseconds,NOT NULL,Android SDK,"StopHeartRateRsp.hrv (int) for manual via manualModeHrv. HRVRsp.pressureArray[i] (byte[]) / 10 for synced history via HRVReq  SDK returns raw byte array, divide each element by 10 for actual value.",HRV RMSSD in milliseconds. For synced history: HRVRsp.pressureArray is a byte array  divide each byte by 10 to get the display value. For manual: StopHeartRateRsp.hrv is already the int value.,Range: 1–300. Reject zero for manual (errCode must be 0). Reject > 300.,
hrv,interval_minutes,INT16,30,minutes,NULLABLE,Android SDK,"HRVRsp.range (int)  interval between readings, typically 30 minutes.",Measurement interval for synced history. Null for manual.,Typically 30. Null if manual.,
hrv,day_offset,INT8,0,days ago,NULLABLE,Android SDK,HRVRsp.offset (int). 0=today up to 6.,Day offset used during sync. Null if manual.,Range: 0–6.,
hrv,source,ENUM,manual,,NOT NULL,Android,,manual or continuous,Allowed: manual | continuous,
hrv,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
hrv,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android,CHAR_FIRMWARE_REVISION,Ring firmware at measurement,Max 32 chars.,
hrv,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android,CHAR_HW_REVISION,Ring hardware version,Max 32 chars.,
stress,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
stress,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
stress,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android,System.currentTimeMillis() at callback for manual. PressureRsp.today + range offset for synced history.,Measurement time.,> 0.,
stress,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
stress,level,INT8,42,0–100 index,NOT NULL,Android SDK,StopHeartRateRsp.stress (int) for manual via manualModePressure. PressureRsp.pressureArray[i] (byte[]) / 10 for synced history via PressureReq  same pattern as HRVRsp.,"Stress/pressure index 0–100. For synced history: PressureRsp.pressureArray byte array, divide each element by 10. Manual: StopHeartRateRsp.stress is the int value directly.",Range: 0–100. Reject outside. Zero from manual with errCode != 0 means failed  do not store.,
stress,interval_minutes,INT16,30,minutes,NULLABLE,Android SDK,PressureRsp.range (int)  typically 30 minutes.,Measurement interval for synced history. Null for manual.,Typically 30. Null if manual.,
stress,day_offset,INT8,0,days ago,NULLABLE,Android SDK,PressureRsp.offset (int). 0=today up to 6.,Day offset used during sync. Null if manual.,Range: 0–6.,
stress,source,ENUM,manual,,NOT NULL,Android,,manual or continuous,Allowed: manual | continuous,
stress,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
stress,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android,CHAR_FIRMWARE_REVISION,Ring firmware at measurement,Max 32 chars.,
stress,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android,CHAR_HW_REVISION,Ring hardware version,Max 32 chars.,
activity,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
activity,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
activity,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android,"Derived from BleStepTotal.year, month, day fields  convert to midnight UTC milliseconds of that date.",Date of activity as midnight UTC of the calendar day. One record per day.,Must be midnight-aligned UTC. Reject duplicate dates per user.,
activity,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
activity,steps,INT32,8432,steps,NOT NULL,Android SDK,BleStepTotal.totalSteps (int) from TodaySportDataRsp (wraps BleStepTotal internally),Total step count for the day. Cumulative from midnight.,Range: 0–100000. Reject negative.,
activity,running_steps,INT32,1200,steps,NULLABLE,Android SDK,BleStepTotal.runningSteps (int)  aerobic/running step subset,Aerobic step subset of total. Must be <= steps.,Range: 0–steps. Null if not available.,
activity,distance_meters,INT32,6100,meters,NOT NULL,Android SDK,BleStepTotal.walkDistance (int),Walking/running distance for the day in meters.,Range: 0–200000. Reject negative.,
activity,calories_kcal,INT32,420,kcal,NOT NULL,Android SDK,BleStepTotal.calorie (int)  IMPORTANT: SDK unit is small calories (cal). Android must divide by 1000 before sending to API to convert to kcal.,Calories burned in kcal. SDK field calorie is in small calories  divide by 1000 for kcal. Do not store raw SDK value.,Range: 0–10000 kcal. Reject negative.,
activity,active_duration_seconds,INT32,3600,seconds,NOT NULL,Android SDK,BleStepTotal.sportDuration (int),Time in active movement for the day in seconds.,Range: 0–86400. Reject negative.,
activity,sleep_duration_seconds,INT32,27000,seconds,NULLABLE,Android SDK,"BleStepTotal.sleepDuration (int)  rough figure from activity summary, not from sleep sensor detail.",Sleep duration from activity summary. Not the detailed sleep record  see sleep table. Null if not available.,Range: 0–86400.,
activity,days_ago,INT8,0,days ago,NOT NULL,Android SDK,BleStepTotal.daysAgo (int). 0=today 1=yesterday up to 7.,How many days ago relative to sync time. Used to validate device_timestamp alignment.,Range: 0–7.,
activity,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
activity,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android,CHAR_FIRMWARE_REVISION,Ring firmware at sync time,Max 32 chars.,
activity,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android,CHAR_HW_REVISION,Ring hardware version,Max 32 chars.,
activity_detail,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
activity_detail,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
activity_detail,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android,Derived: date midnight UTC ms + (BleStepDetails.timeIndex * 15 * 60 * 1000). Year/month/day also provided by BleStepDetails directly.,"Start of 15-minute window. timeIndex 0=00:00, 95=23:45.",Must be 15-min aligned. Range: 0–95 for timeIndex.,
activity_detail,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
activity_detail,time_index,INT8,32,0–95,NOT NULL,Android SDK,"BleStepDetails.timeIndex (int)  15-min slot index. 0=00:00 to 00:15, 95=23:45 to 00:00. One data point per 15-min window.",Slot index within the day.,Range: 0–95.,
activity_detail,walk_steps,INT32,240,steps,NOT NULL,Android SDK,BleStepDetails.walkSteps (int),Step count in this 15-minute window.,Range: 0–5000. Reject negative.,
activity_detail,run_steps,INT32,0,steps,NULLABLE,Android SDK,"BleStepDetails.runSteps (int)  SDK notes this field as ""keep for now"" suggesting future use.",Running step count in this window. May be zero or unreliable per SDK documentation.,Range: 0–5000.,
activity_detail,distance_meters,INT32,180,meters,NOT NULL,Android SDK,BleStepDetails.distance (int),Distance in this 15-minute window in meters.,Range: 0–10000.,
activity_detail,calories_small_cal,INT16,12,cal (small calories),NOT NULL,Android SDK,BleStepDetails.calorie (int)  SDK unit is small calories (cal). Store as-is for detail table. Convert to kcal (/1000) only in API responses.,Calories in small calories (cal). Different from activity table which stores kcal. Stored raw here.,Range: 0–1000.,
activity_detail,day_offset,INT8,0,days ago,NOT NULL,Android SDK,ReadDetailSportDataReq dayOffset param. 0=today 1=yesterday up to 7.,Relative day offset used during sync.,Range: 0–7.,
activity_detail,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
sleep,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
sleep,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
sleep,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android,"SleepNewProtoResp.st (int, Unix seconds) * 1000  sleep session start time.",When sleep session started. SDK st is Unix seconds  multiply by 1000.,Must be > 0. Must be < end_timestamp.,
sleep,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
sleep,start_timestamp,INT64,1.71249E+12,Unix ms UTC,NOT NULL,Android SDK,SleepNewProtoResp.st (int) * 1000,Sleep session start in Unix ms. Same value as device_timestamp. Stored explicitly for direct query.,> 0.,
sleep,end_timestamp,INT64,1.71252E+12,Unix ms UTC,NOT NULL,Android SDK,SleepNewProtoResp.et (int) * 1000,Sleep session end in Unix ms. SDK et is Unix seconds  multiply by 1000.,> start_timestamp. Difference < 86400000 ms (24h).,
sleep,deep_minutes,INT16,90,minutes,NOT NULL,Android SDK (derived),Sum of SleepNewProtoResp.list where DetailBean.t == 3. d field = duration in minutes.,Deep sleep minutes. Summed from stage detail list type=3.,Range: 0–600.,
sleep,light_minutes,INT16,240,minutes,NOT NULL,Android SDK (derived),Sum of SleepNewProtoResp.list where DetailBean.t == 2. d = duration minutes.,Light sleep minutes. Type=2 (shallowDuration in SleepDisplay maps to this).,Range: 0–600.,
sleep,rem_minutes,INT16,80,minutes,NOT NULL,Android SDK (derived),Sum of SleepNewProtoResp.list where DetailBean.t == 4. d = duration minutes.,REM sleep minutes. Type=4 (rapidDuration in SleepDisplay).,Range: 0–300.,
sleep,awake_minutes,INT16,42,minutes,NOT NULL,Android SDK (derived),Sum of SleepNewProtoResp.list where DetailBean.t == 5. d = duration minutes.,Awake time during sleep session. Type=5.,Range: 0–300.,
sleep,not_worn_minutes,INT16,0,minutes,NULLABLE,Android SDK (derived),Sum of SleepNewProtoResp.list where DetailBean.t == 1 (ring removed).,Minutes ring was removed during sleep window. Type=1. Null if none detected.,Range: 0–600. Null if t==1 not present.,
sleep,total_minutes,INT16,452,minutes,NOT NULL (server derived),Server calculates on insert,deep_minutes + light_minutes + rem_minutes + awake_minutes,Total session duration. Server-derived  not sent by Android.,Must equal sum of stage minutes. Range: 1–1440.,
sleep,waking_count,INT16,2,count,NULLABLE,Android SDK,SleepDisplay.wakingCount (int)  number of times woke during sleep. Only available when using SleepDisplay callback path.,Number of wake events. From SleepDisplay (ILargeDataSleepResponse) callback. Null if using SleepNewProtoResp path only.,Range: 0–50.,
sleep,lunch_start_timestamp,INT64,1.71251E+12,Unix ms UTC,NULLABLE,Android SDK,SleepNewProtoResp.lunchSt (int) * 1000. Only present when lunchBreak == true.,Nap start time if detected. Null if no nap (lunchBreak = false).,> start_timestamp if present.,
sleep,lunch_end_timestamp,INT64,1.71251E+12,Unix ms UTC,NULLABLE,Android SDK,SleepNewProtoResp.lunchEt (int) * 1000. Only when lunchBreak == true.,Nap end time. Null if no nap.,> lunch_start_timestamp if present.,
sleep,day_offset,INT8,0,days ago,NOT NULL,Android SDK,LargeDataHandler.syncSleepList offset param. 0=last night 1=night before.,Relative day offset used during sync.,Range: 0–7.,
sleep,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
sleep,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android,CHAR_FIRMWARE_REVISION,Ring firmware at sync time,Max 32 chars.,
sleep,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android,CHAR_HW_REVISION,Ring hardware version,Max 32 chars.,
sleep_stage_detail,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
sleep_stage_detail,sleep_id,UUID v4,550e8400-...,,NOT NULL,Server FK,,Foreign key to sleep.id.,Must reference valid sleep.id for same user.,
sleep_stage_detail,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Denormalised owner for query efficiency.,Must match sleep.user_id.,
sleep_stage_detail,stage_index,INT8,0,,NOT NULL,Android SDK,List index in SleepNewProtoResp.list,Sequential position within sleep session. 0-based.,Range: 0–500.,
sleep_stage_detail,stage_type,INT8,3,,NOT NULL,Android SDK,"SleepNewProtoResp.DetailBean.t (int). Values: 0=not sleeping, 1=ring removed, 2=light sleep, 3=deep sleep, 4=eye movement/REM, 5=awake.",Stage type code from SDK. Matches SDK documentation exactly.,Allowed: 0 | 1 | 2 | 3 | 4 | 5,
sleep_stage_detail,stage_label,VARCHAR(16),deep,,NOT NULL (server derived),Server maps on insert,"Mapped from stage_type: 0=none, 1=removed, 2=light, 3=deep, 4=rem, 5=awake",Human-readable label. Server-derived from stage_type.,Allowed: none | removed | light | deep | rem | awake,
sleep_stage_detail,duration_minutes,INT16,45,minutes,NOT NULL,Android SDK,SleepNewProtoResp.DetailBean.d (int)  duration of this stage segment in minutes.,Duration of this stage segment in minutes.,Range: 1–600. Reject zero or negative.,
sleep_stage_detail,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
sport_session,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
sport_session,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
sport_session,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android SDK,"SportPlusEntity.mStartTime (int, Unix seconds) * 1000. Also available as trainingStartTime (String) in yyyy-MM-dd HH:mm format set via SportPlusHandle.timeFormat.",Session start time. mStartTime is Unix seconds  multiply by 1000.,> 0.,
sport_session,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
sport_session,start_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android SDK,SportPlusEntity.mStartTime (int) * 1000,Session start in Unix ms.,> 0.,
sport_session,end_timestamp,INT64,1.71254E+12,Unix ms UTC,NOT NULL (derived),Derived: start_timestamp + (SportPlusEntity.mDuration * 1000),SportPlusEntity.mStartTime * 1000 + mDuration * 1000,Session end time derived from start + duration.,> start_timestamp.,
sport_session,sport_type_code,INT16,7,,NOT NULL,Android SDK,SportPlusEntity.mSportType (int). See sport_type_map table for all codes.,Sport type numeric code.,Must be a known code per sport_type_map. Store unknown codes as-is with label Other.,
sport_session,sport_type_label,VARCHAR(64),Running,,NOT NULL (derived),Server maps on insert,Mapped from mSportType via sport_type_map,Human-readable sport name.,Max 64 chars.,
sport_session,duration_seconds,INT32,3600,seconds,NOT NULL,Android SDK,SportPlusEntity.mDuration (int),Session duration in seconds.,Range: 1–86400. Reject zero.,
sport_session,distance_meters,INT32,5000,meters,NULLABLE,Android SDK,SportPlusEntity.mDistance (int),Distance in meters. Null for stationary activities.,Range: 0–500000.,
sport_session,calories_small_cal,"DECIMAL(9,1)",320000,cal (small calories),NULLABLE,Android SDK,SportPlusEntity.mCalories (float). IMPORTANT: SDK type is float in small calories. Divide by 1000 for kcal in API responses.,Calories in small calories. mCalories is a float  store full precision. Divide by 1000 for kcal in responses.,Range: 0–5000000. Null if not measured.,
sport_session,avg_speed_cm_per_s,INT32,220,cm/s,NULLABLE,Android SDK,"SportPlusEntity.mSpeedAvg (int). Divide by 100 for m/s, multiply by 3.6 for km/h in API responses.",Average speed in cm/s. Raw SDK unit.,Range: 0–2000. Null if not applicable.,
sport_session,max_speed_cm_per_s,INT32,350,cm/s,NULLABLE,Android SDK,SportPlusEntity.mSpeedMax (int).,Maximum speed in cm/s.,Range: 0–2000. >= avg_speed if present.,
sport_session,avg_heart_rate,INT32,145,bpm,NULLABLE,Android SDK,SportPlusEntity.mRateAvg (int).,Average heart rate in BPM.,Range: 30–250. Null if not measured.,
sport_session,min_heart_rate,INT32,120,bpm,NULLABLE,Android SDK,SportPlusEntity.mRateMin (int).,Minimum heart rate.,Range: 30–250. <= avg_heart_rate if present.,
sport_session,max_heart_rate,INT32,178,bpm,NULLABLE,Android SDK,SportPlusEntity.mRateMax (int).,Maximum heart rate.,Range: 30–250. >= avg_heart_rate if present.,
sport_session,steps,INT32,6800,steps,NULLABLE,Android SDK,SportPlusEntity.steps (int). Only populated for step-based activities.,"Step count. Only for walking/running/hiking (type 3,4,7,8,41,60). Zero for others per SDK notes.",Range: 0–100000. Null for non-step activities.,
sport_session,cadence_steps_per_min,INT32,168,steps/min,NULLABLE,Android SDK,SportPlusEntity.mStepRate (int).,Average cadence.,Range: 0–300. Null if not applicable.,
sport_session,avg_altitude_cm,INT32,5000,cm,NULLABLE,Android SDK,SportPlusEntity.mElevation (int). Divide by 100 for metres in API responses.,Average altitude in cm.,Null if not GPS activity.,
sport_session,uphill_cm,INT32,120,cm,NULLABLE,Android SDK,SportPlusEntity.mUphill (int).,Cumulative climbing in cm.,Range: 0–1000000. Null if not applicable.,
sport_session,downhill_cm,INT32,80,cm,NULLABLE,Android SDK,SportPlusEntity.mDownhill (int).,Cumulative descent in cm.,Range: 0–1000000. Null if not applicable.,
