supabase_table,supabase_column,postgres_type,nullable,android_entity,android_field,json_key_sent,transform,status,notes
ring_blood_pressure,sync_id,UUID,nullable,HeartRateEntity,syncId,sync_id,"suffixed: ""${syncId}-bp""",OK,
ring_blood_pressure,firmware_version,VARCHAR(32),nullable,HeartRateEntity,firmwareVersion,firmware_version,only sent when non-null,OK,
ring_blood_pressure,hardware_version,VARCHAR(32),nullable,HeartRateEntity,hardwareVersion,hardware_version,only sent when non-null,OK,
ring_activity,id,UUID,NOT NULL,ActivityEntity,-,id,UUID.randomUUID().toString(),OK,
ring_activity,user_id,UUID,NOT NULL,ActivityEntity,-,user_id,authStore.userId,OK,
ring_activity,device_timestamp,BIGINT,NOT NULL,ActivityEntity,deviceTimestamp,device_timestamp,none,OK,
ring_activity,server_timestamp,BIGINT,NOT NULL,-,-,- not sent -,Supabase server_default,OK,
ring_activity,days_ago,SMALLINT,NOT NULL,ActivityEntity,daysAgo,days_ago,none,OK,0=today … 7
ring_activity,steps,INT,NOT NULL,ActivityEntity,steps,steps,none,OK,
ring_activity,running_steps,INT,nullable,ActivityEntity,runningSteps,running_steps,none,OK,
ring_activity,distance_meters,INT,nullable,ActivityEntity,walkDistanceMeters,walk_distance_meters,none,BUG (key mismatch),"Android sends key ""walk_distance_meters"" but the column is ""distance_meters"" — value is silently dropped. NOT NULL removed by migration 001 so inserts no longer fail; data is NULL until Android field name is fixed"
ring_activity,calories_kcal,INT,NOT NULL,ActivityEntity,caloriesKcal,calories_kcal,SDK BleStepTotal.calorie / 1000,OK,Division is done before storing in Room entity
ring_activity,active_duration_seconds,INT,nullable,ActivityEntity,sportDurationSeconds,sport_duration_seconds,none,BUG (key mismatch),"Android sends key ""sport_duration_seconds"" but the column is ""active_duration_seconds"" — value is silently dropped. NOT NULL removed by migration 001 so inserts no longer fail; data is NULL until Android field name is fixed"
ring_activity,sleep_duration_seconds,INT,nullable,ActivityEntity,sleepDurationSeconds,sleep_duration_seconds,none,OK,
ring_activity,sync_id,UUID,nullable,ActivityEntity,syncId,sync_id,none,OK,"Format: ""activity-{daysAgo}-{day}-{month}-{year}"""
ring_activity,firmware_version,VARCHAR(32),nullable,-,-,- not sent -,-,OK,ActivityDetail uses CoreMixin (no firmware/hardware per data dict); ring_activity uses TimestampMixin but Android does not send these fields - columns are nullable so this is fine
ring_activity,hardware_version,VARCHAR(32),nullable,-,-,- not sent -,-,OK,
ring_sleep,id,UUID,NOT NULL,SleepEntity,sleepId,id,none,OK,Pre-generated UUID stored in the entity - used as FK in ring_sleep_stage_detail
ring_sleep,user_id,UUID,NOT NULL,SleepEntity,-,user_id,authStore.userId,OK,
ring_sleep,device_timestamp,BIGINT,NOT NULL,SleepEntity,deviceTimestamp,device_timestamp,none,OK,
ring_sleep,server_timestamp,BIGINT,NOT NULL,-,-,- not sent -,Supabase server_default,OK,
ring_sleep,day_offset,SMALLINT,nullable,SleepEntity,daysAgo,days_ago,none,BUG (key mismatch),"Android sends key ""days_ago"" but the column is ""day_offset"" — value is silently dropped. NOT NULL removed by migration 001 so inserts no longer fail; data is NULL until Android field name is fixed"
ring_sleep,start_timestamp,BIGINT,NOT NULL,SleepEntity,startTimestamp,start_timestamp,none,OK,
ring_sleep,end_timestamp,BIGINT,NOT NULL,SleepEntity,endTimestamp,end_timestamp,none,OK,
ring_sleep,deep_minutes,SMALLINT,NOT NULL,SleepEntity,deepMinutes,deep_minutes,none,OK,Sum of SleepNewProtoResp stages where t=3
ring_sleep,light_minutes,SMALLINT,NOT NULL,SleepEntity,lightMinutes,light_minutes,none,OK,Sum where t=2
ring_sleep,rem_minutes,SMALLINT,NOT NULL,SleepEntity,remMinutes,rem_minutes,none,OK,Sum where t=4
ring_sleep,awake_minutes,SMALLINT,NOT NULL,SleepEntity,awakeMinutes,awake_minutes,none,OK,Sum where t=5
ring_sleep,not_worn_minutes,SMALLINT,nullable,SleepEntity,notWornMinutes,not_worn_minutes,none,OK,Sum where t=1; 0 when not present (entity stores 0 not null)
ring_sleep,total_minutes,SMALLINT,NOT NULL,SleepEntity,totalMinutes,total_minutes,pre-computed: deep+light+rem+awake,OK,FastAPI derives this server-side; Android must compute and send it for Supabase direct - entity already stores it
ring_sleep,waking_count,SMALLINT,nullable,SleepEntity,wakingCount,waking_count,none,OK,0 when not available from SleepDisplay path
ring_sleep,lunch_start_timestamp,BIGINT,nullable,-,-,- not sent -,-,OK (gap),Entity does not capture nap timestamps yet; columns are nullable
ring_sleep,lunch_end_timestamp,BIGINT,nullable,-,-,- not sent -,-,OK (gap),
ring_sleep,sync_id,UUID,nullable,SleepEntity,syncId,sync_id,none,OK,"Format: ""sleep-{daysAgo}-{day}-{month}-{year}"""
ring_sleep,firmware_version,VARCHAR(32),nullable,-,-,- not sent -,-,OK,
ring_sleep,hardware_version,VARCHAR(32),nullable,-,-,- not sent -,-,OK,
ring_sleep_stage_detail,id,UUID,NOT NULL,-,-,id,UUID.randomUUID().toString(),OK,
ring_sleep_stage_detail,sleep_id,UUID,NOT NULL,SleepEntity,sleepId,sleep_id,none,OK,References the pre-generated UUID sent as ring_sleep.id
ring_sleep_stage_detail,user_id,UUID,NOT NULL,-,-,user_id,authStore.userId,OK,Denormalised for query efficiency
ring_sleep_stage_detail,stage_type,SMALLINT,nullable,-,-,- not sent -,-,BUG (missing field),Android never sends stage_type — the int from DetailBean.t is only used to derive the label string. NOT NULL removed by migration 001; value stays NULL until Android is fixed
ring_sleep_stage_detail,stage_label,VARCHAR(16),nullable,-,-,stage,stageLabel(type): 1→not_worn 2→light 3→deep 4→rem 5→awake else→unknown,BUG (key mismatch),"Android sends key ""stage"" but the column is ""stage_label"" — value dropped. NOT NULL removed by migration 001; also: type 1 label is ""not_worn"" in Android but ""removed"" in FastAPI — inconsistent across sync paths"
ring_sleep_stage_detail,stage_index,SMALLINT,nullable,-,-,- not sent -,-,BUG (missing field),Android never sends stage_index — no loop counter tracked in insertSleepSessions(). NOT NULL removed by migration 001; value stays NULL until Android is fixed
ring_sleep_stage_detail,duration_minutes,SMALLINT,NOT NULL,-,-,duration_minutes,from parsed stagesJson durationMinutes field,OK,
ring_sleep_stage_detail,start_timestamp,-,-,-,-,start_timestamp,computed: session start + cumulative offset,EXTRA,Column does not exist in ring_sleep_stage_detail model - Android sends this extra field and Supabase silently ignores it; harmless but wasteful
ring_sleep_stage_detail,sync_id,UUID,nullable,-,-,- not sent -,-,OK,Not sent for stage rows; nullable so fine
user_profiles,id,UUID,NOT NULL,-,-,- read only -,-,OK,Android reads user_profiles (GET) to fetch role/full_name after login; never writes to this table via PostgREST
doctor_patient,patient_id + doctor_id,UUID,NOT NULL,-,-,patient_id + doctor_id,addDoctorLink() / removeDoctorLink(),OK,Android can POST/DELETE its own patient_id rows via RLS; admin rows require FastAPI admin endpoint
